Feature,Importance
sensor_4_mean,0.3516511
sensor_15_mean,0.1981623
sensor_21_mean,0.074126095
sensor_3_mean,0.05737961
sensor_2_mean,0.05425706
sensor_20_mean,0.037374932
sensor_17_mean,0.02856461
sensor_7_mean,0.0279271
cycle_squared,0.02461732
sensor_11,0.020383418
sensor_9,0.016558299
sensor_2_expanding_mean,0.013225945
sensor_11_lag_1,0.01148149
sensor_3_expanding_mean,0.0079569705
sensor_11_lag_2,0.006385596
sensor_8_mean,0.0061953673
sensor_12,0.005426433
sensor_9_expanding_mean,0.0046974076
sensor_11_lag_3,0.00380802
sensor_2_min,0.0031367475
sensor_20_min,0.0026794993
sensor_20_max,0.0026161633
sensor_12_lag_1,0.0025622577
sensor_3_max,0.0025617962
sensor_3_min,0.0023284068
sensor_2_max,0.0020453865
sensor_17_max,0.0019087857
sensor_13_lag_2,0.0018418565
sensor_12_lag_3,0.0017681072
sensor_12_lag_2,0.0016657487
sensor_9_zscore,0.0015599494
sensor_13,0.0014706085
sensor20_sensor21_product,0.001431014
sensor_9_std,0.0014195188
sensor_13_lag_1,0.001381829
sensor_17_min,0.0013138446
sensor_13_lag_3,0.0012716298
sensor_9_delta,0.0010533269
sensor_20_std,0.0010377342
sensor_4_lag_3,0.0008642614
sensor_13_std,0.0008057705
sensor_7_std,0.0007898559
sensor_15_std,0.00077752775
sensor_20,0.0007705866
sensor_15,0.00073165656
sensor_15_lag_3,0.00070392294
sensor_4_lag_1,0.00068689353
sensor_12_std,0.00068152114
sensor_21_std,0.0006299631
sensor_2_std,0.0006276113
sensor_3_std,0.00061989
sensor_11_std,0.0005889127
sensor_4_std,0.0005801537
sensor_4_lag_2,0.0005586487
sensor_8_std,0.0005568952
sensor_21_lag_1,0.0005409169
sensor_21_lag_2,0.000513037
sensor_4_zscore,0.00043412743
sensor_17_delta,0.00030454676
sensor_6,0.0
