Engine,Actual RUL,Predicted RUL,Residual,Absolute Error
45,114,67.61007,46.38993000000001,46.38993000000001
55,137,94.08924,42.910759999999996,42.910759999999996
12,124,84.250984,39.749016,39.749016
51,114,76.156456,37.843543999999994,37.843543999999994
67,77,112.84504,-35.84504,35.84504
74,126,93.06516,32.934839999999994,32.934839999999994
73,131,99.56192,31.43808,31.43808
93,85,54.002003,30.997996999999998,30.997996999999998
25,145,115.75735,29.242649999999998,29.242649999999998
50,79,106.755775,-27.755775,27.755775
79,63,90.57969,-27.57969,27.57969
15,83,110.497284,-27.497283999999993,27.497283999999993
30,115,87.99469,27.005309999999994,27.005309999999994
2,98,124.64873,-26.64873,26.64873
72,50,75.22326,-25.223259999999996,25.223259999999996
95,128,102.78736,25.212639999999993,25.212639999999993
83,137,113.65297,23.347030000000004,23.347030000000004
29,90,113.33313,-23.333129999999997,23.333129999999997
96,137,114.84309,22.156909999999996,22.156909999999996
13,95,74.96294,20.037059999999997,20.037059999999997
