Feature,Importance
sensor_4_mean,0.52393097
sensor_15_mean,0.122520246
sensor_7_mean,0.05749733
sensor_2_mean,0.046964426
sensor_21_mean,0.038643926
cycle_squared,0.037179645
sensor_17_mean,0.024124676
sensor_2_expanding_mean,0.0229378
sensor_3_mean,0.020210553
sensor_9,0.013565033
sensor_8_mean,0.008903384
sensor_3_expanding_mean,0.008661173
sensor_20_mean,0.0075115124
sensor_9_expanding_mean,0.0069268183
sensor_11,0.0059599094
sensor_11_lag_1,0.0028337433
sensor_2_min,0.0027722963
sensor_11_lag_2,0.0022886295
sensor_2_max,0.0018629582
sensor_20_max,0.001711587
sensor_3_max,0.0016246223
sensor_17_max,0.0015510556
sensor_20_min,0.0015194047
sensor_12,0.0013870631
sensor_13,0.0013568387
sensor_3_min,0.0012224929
sensor_11_lag_3,0.0012131192
sensor_12_lag_2,0.0009785197
sensor_9_zscore,0.0008896148
sensor_9_std,0.0008763555
sensor_12_lag_1,0.0008057332
sensor_15_std,0.00066706305
sensor_17_min,0.0006347884
sensor_13_lag_1,0.0006302754
sensor_21_std,0.0006296086
sensor_13_lag_3,0.0006082091
sensor_20_std,0.0005699452
sensor_9_delta,0.0005360704
sensor_12_lag_3,0.0005325621
sensor_4_std,0.000519979
sensor_15,0.0005077131
sensor_13_lag_2,0.00048600035
sensor_15_lag_3,0.00048031122
sensor_4_lag_1,0.0004726348
sensor20_sensor21_product,0.00046931522
sensor_11_std,0.00044428042
sensor_13_std,0.00042866459
sensor_3_std,0.00042508155
sensor_8_std,0.00042414604
sensor_12_std,0.00041602945
sensor_21_lag_1,0.00041144007
sensor_17_delta,0.0004110796
sensor_7_std,0.0004105353
sensor_4_lag_2,0.000409874
sensor_4_lag_3,0.0003992178
sensor_2_std,0.00039723876
sensor_20,0.00039656673
sensor_21_lag_2,0.00039158715
sensor_6,0.00038775662
sensor_4_zscore,0.00038468462
