Feature,Mean_SHAP
sensor_4_mean,10.393183
cycle_squared,7.714351
sensor_2_expanding_mean,5.1003137
sensor_15_mean,4.8489604
sensor_3_expanding_mean,3.715546
sensor_9,3.4998012
sensor_21_mean,3.1501899
sensor_2_mean,2.664112
sensor_3_mean,2.15874
sensor_9_expanding_mean,1.9260651
sensor_7_mean,1.906615
sensor_17_mean,1.6070963
sensor_20_mean,1.5287619
sensor_11,1.1147857
sensor_8_mean,0.94688666
sensor_11_lag_1,0.8852851
sensor_11_lag_2,0.68166506
sensor_11_lag_3,0.5268246
sensor_12,0.45596948
sensor_2_min,0.35141048
sensor_3_min,0.29750416
sensor_3_max,0.28207487
sensor_2_max,0.26317775
sensor_12_lag_1,0.2618039
sensor_12_lag_2,0.23529436
sensor_13,0.23130888
sensor_12_lag_3,0.18247633
sensor_20_max,0.17798309
sensor_13_lag_1,0.16620553
sensor_9_delta,0.13988605
sensor_20_min,0.1347575
sensor_13_lag_2,0.12354578
sensor_9_zscore,0.11071776
sensor_13_lag_3,0.10887982
sensor_12_std,0.08246269
sensor_9_std,0.07770769
sensor_7_std,0.0718624
sensor_21_std,0.07144566
sensor20_sensor21_product,0.050315205
sensor_17_max,0.043851152
sensor_17_min,0.038038258
sensor_2_std,0.033602584
sensor_11_std,0.03191088
sensor_20,0.024322446
sensor_4_std,0.022645287
sensor_8_std,0.02141389
sensor_21_lag_2,0.021394672
sensor_4_lag_1,0.016891876
sensor_20_std,0.01688215
sensor_4_lag_2,0.015325799
sensor_13_std,0.01513741
sensor_15,0.014739787
sensor_15_std,0.01416623
sensor_4_lag_3,0.013819
sensor_3_std,0.01315758
sensor_21_lag_1,0.011947888
sensor_15_lag_3,0.009262097
sensor_4_zscore,0.005456597
sensor_17_delta,0.000893834
sensor_6,0.0
